plotID;coords;fastqName;groupName;palette
1;chr4:148,704,511-148,711,751;S1_23900;male_young_WT;#CEFFBF
1;chr4:148,704,511-148,711,751;S3_23933;male_young_WT;#CEFFBF
1;chr4:148,704,511-148,711,751;S5_26985;male_young_WT;#CEFFBF
1;chr4:148,704,511-148,711,751;S14_R8B31R;male_old_WT;#90FF6E
1;chr4:148,704,511-148,711,751;S12_25668;male_old_WT;#90FF6E
1;chr4:148,704,511-148,711,751;S8_26258;male_old_WT;#90FF6E
1;chr4:148,704,511-148,711,751;S6_26986;male_young_KO;#46B025
1;chr4:148,704,511-148,711,751;S2_23901;male_young_KO;#46B025
1;chr4:148,704,511-148,711,751;S4_23957;male_young_KO;#46B025
1;chr4:148,704,511-148,711,751;S7_26257;male_old_KO;#22630E
1;chr4:148,704,511-148,711,751;S10_26991;male_old_KO;#22630E
1;chr4:148,704,511-148,711,751;S11_26992;male_old_KO;#22630E
1;chr4:148,704,511-148,711,751;S13_26259;male_old_KO;#22630E
1;chr4:148,704,511-148,711,751;S9_25666;male_old_KO;#22630E
1;chr4:148,704,511-148,711,751;S7_PAX7_F_WT1;female_young_WT;#A9E1F5
1;chr4:148,704,511-148,711,751;S8_PAX7_F_WT2;female_young_WT;#A9E1F5
1;chr4:148,704,511-148,711,751;S9_PAX7_F_WT3;female_young_WT;#A9E1F5
1;chr4:148,704,511-148,711,751;Sample_27202_WT_S1;female_old_WT;#5FD1FA
1;chr4:148,704,511-148,711,751;Sample_27203_WT_S2;female_old_WT;#5FD1FA
1;chr4:148,704,511-148,711,751;Sample_27204_WT_S3;female_old_WT;#5FD1FA
1;chr4:148,704,511-148,711,751;Sample_27205_WT_S4;female_old_WT;#5FD1FA
1;chr4:148,704,511-148,711,751;Sample_27510_WT_S5;female_old_WT;#5FD1FA
1;chr4:148,704,511-148,711,751;S11_PAX7_F_KO2_S11;female_young_KO;#2697BF
1;chr4:148,704,511-148,711,751;S10_PAX7_F_KO1;female_young_KO;#2697BF
1;chr4:148,704,511-148,711,751;S12_PAX7_F_KO3;female_young_KO;#2697BF
1;chr4:148,704,511-148,711,751;Sample_27511_KO_S6;female_old_KO;#20596E
1;chr4:148,704,511-148,711,751;Sample_27587_KO_S7;female_old_KO;#20596E
